iteration;RMSE;MAE;features
1;2.6771829524887307;2.106307658459037; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 3 -2 0, Franco_florin_buzios_28_09-2_azimuth_area1_ -3 -2 0, Franco_florin_buzios_28_09-2_curvedness_area1_ 1 3 -2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 0 3, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ 0 2 2, Franco_florin_buzios_28_09-2_max-curvature_area1_ 1 0 2, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ 2 -2 3, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -3 2, Franco_florin_buzios_28_09-2_azimuth_area1_ 0 -1 3
2;1.9980664406391362;1.4833922785287754; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 0, Franco_florin_buzios_28_09-2_rms-5_area1_ -1 1 -1, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ 2 3 -2, Franco_florin_buzios_28_09-2_min-curvature_area1_ 1 -3 -2, Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 3 -2 0, Franco_florin_buzios_28_09-2_dip-angle_area1_ 0 -2 3, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ -1 1 -3, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ -2 2 -2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ -3 -3 -1
3;1.2835936066878386;1.010694961025731; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 3 -3 2, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ -1 -1 -1, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 3 0 -1, Franco_florin_buzios_28_09-2_curvedness_area1_ 0 -2 2, Franco_florin_buzios_28_09-2_envelope_area1_ 3 2 -3, Franco_florin_buzios_28_09-2_azimuth_area1_ 1 0 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ 2 2 -3, Franco_florin_buzios_28_09-2_shape-index_area1_ 3 1 2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 3 1 1
4;1.1263252347794777;0.8145995629542466; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 3 -2 1, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 0 -2 0, Franco_florin_buzios_28_09-2_max-curvature_area1_ 1 1 1, Franco_florin_buzios_28_09-2_max-curvature_area1_ 2 2 1, Franco_florin_buzios_28_09-2_max-curvature_area1_ 1 1 0, Franco_florin_buzios_28_09-2_curvedness_area1_ 2 0 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ 3 0 1, Franco_florin_buzios_28_09-2_rms-9_area1_ 0 2 3, Franco_florin_buzios_28_09-2_rms-3_area1_ -2 -3 -1
5;0.9129376359539676;0.6449090495627425; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_shape-index_area1_ 1 -1 0, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 -2 -1, Franco_florin_buzios_28_09-2_min-curvature_area1_ -3 1 1, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ 3 0 -1, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 3 3 0, Franco_florin_buzios_28_09-2_dip-angle_area1_ 0 2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ -3 -3 -3
6;0.6534258976495335;0.45610778294091847; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 3 -1 1, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 -3 2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ -3 1 1, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ -3 2 -1, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ -1 -3 -3, Franco_florin_buzios_28_09-2_dip-curvature_area1_ -2 3 2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -3 -1, Franco_florin_buzios_28_09-2_shape-index_area1_ 0 2 -1, Franco_florin_buzios_28_09-2_shape-index_area1_ 2 -3 -2
7;0.6351043110069465;0.4599714481118333; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_rms-7_area1_ -3 3 -1, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 -2 -3, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ -2 0 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 2 0, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ -2 1 -2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ -2 1 -1, Franco_florin_buzios_28_09-2_rms-5_area1_ 1 1 -1, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 -1, Franco_florin_buzios_28_09-2_shape-index_area1_ 3 1 -2
8;0.6481436147314301;0.5069995665069774; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ 0 0 3, Franco_florin_buzios_28_09-2_max-curvature_area1_ 2 0 -1, Franco_florin_buzios_28_09-2_curvedness_area1_ -1 0 -3, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ 2 -2 0, Franco_florin_buzios_28_09-2_contur-curvature_area1_ -2 -3 0, Franco_florin_buzios_28_09-2_rms-7_area1_ -3 -3 -2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 2 1, Franco_florin_buzios_28_09-2_dip-curvature_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_rms-7_area1_ -3 -2 0
9;0.727835002587618;0.5458987817826161; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ 2 1 -2, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ 3 -3 2, Franco_florin_buzios_28_09-2_min-curvature_area1_ -2 2 -3, Franco_florin_buzios_28_09-2_rms-5_area1_ -3 -3 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 0 1 -1, Franco_florin_buzios_28_09-2_min-curvature_area1_ -2 3 -1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ -2 -1 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ 3 1 -2, Franco_florin_buzios_28_09-2_rms-7_area1_ -2 0 -3
10;0.555425376851542;0.42768644855746496; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ -1 3 -1, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ -2 -2 2, Franco_florin_buzios_28_09-2_shape-index_area1_ 0 -3 2, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -1 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 2 1 -2, Franco_florin_buzios_28_09-2_max-curvature_area1_ 1 0 -1, Franco_florin_buzios_28_09-2_rms-7_area1_ 2 2 1, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 2
